District,SQLTable,Category,Report,FileName,GitHubPath,RawURL
JD01,Ex_Felony Referrals_Case Filling Differences by Defendant Race_Ethnicity,1. Felony Referrals,Case Filling Differences by Defendant Race Ethnicity,JD01 - Case Filling Differences by Defendant Race Ethnicity.csv,JD01/1. Felony Referrals/JD01 - Case Filling Differences by Defendant Race Ethnicity.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/1.%20Felony%20Referrals/JD01%20-%20Case%20Filling%20Differences%20by%20Defendant%20Race%20Ethnicity.csv
JD01,Ex_Felony Referrals_Number of Felony Referrals Filed and Number Declined,1. Felony Referrals,Number of Felony Referrals Filed and Number Declined,JD01 - Number of Felony Referrals Filed and Number Declined.csv,JD01/1. Felony Referrals/JD01 - Number of Felony Referrals Filed and Number Declined.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/1.%20Felony%20Referrals/JD01%20-%20Number%20of%20Felony%20Referrals%20Filed%20and%20Number%20Declined.csv
JD01,Ex_Felony Referrals_Percent of Felony Referrals Declined,1. Felony Referrals,Percent of Felony Referrals Declined,JD01 - Percent of Felony Referrals Declined.csv,JD01/1. Felony Referrals/JD01 - Percent of Felony Referrals Declined.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/1.%20Felony%20Referrals/JD01%20-%20Percent%20of%20Felony%20Referrals%20Declined.csv
JD01,Ex_Felony Referrals_Reducing Felony Charges,1. Felony Referrals,Reducing Felony Charges,JD01 - Reducing Felony Charges.csv,JD01/1. Felony Referrals/JD01 - Reducing Felony Charges.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/1.%20Felony%20Referrals/JD01%20-%20Reducing%20Felony%20Charges.csv
JD01,Ex_Charging and Filing_Cases Filed,2. Charging and Filing,Cases Filed,JD01 - Cases Filed.csv,JD01/2. Charging and Filing/JD01 - Cases Filed.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/2.%20Charging%20and%20Filing/JD01%20-%20Cases%20Filed.csv
JD01,Ex_Charging and Filing_Number of Cases Filed by Quarter and Charge Level,2. Charging and Filing,Number of Cases Filed by Quarter and Charge Level,JD01 - Number of Cases Filed by Quarter and Charge Level.csv,JD01/2. Charging and Filing/JD01 - Number of Cases Filed by Quarter and Charge Level.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/2.%20Charging%20and%20Filing/JD01%20-%20Number%20of%20Cases%20Filed%20by%20Quarter%20and%20Charge%20Level.csv
JD01,Ex_Charging and Filing_Number of Cases Filed by Year,2. Charging and Filing,Number of Cases Filed by Year,JD01 - Number of Cases Filed by Year.csv,JD01/2. Charging and Filing/JD01 - Number of Cases Filed by Year.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/2.%20Charging%20and%20Filing/JD01%20-%20Number%20of%20Cases%20Filed%20by%20Year.csv
JD01,Ex_Charging and Filing_Number of Cases Filed by Year and Charge Level,2. Charging and Filing,Number of Cases Filed by Year and Charge Level,JD01 - Number of Cases Filed by Year and Charge Level.csv,JD01/2. Charging and Filing/JD01 - Number of Cases Filed by Year and Charge Level.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/2.%20Charging%20and%20Filing/JD01%20-%20Number%20of%20Cases%20Filed%20by%20Year%20and%20Charge%20Level.csv
JD01,Ex_Charging and Filing_Number of Cases Filed by Year and Charge Type,2. Charging and Filing,Number of Cases Filed by Year and Charge Type,JD01 - Number of Cases Filed by Year and Charge Type.csv,JD01/2. Charging and Filing/JD01 - Number of Cases Filed by Year and Charge Type.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/2.%20Charging%20and%20Filing/JD01%20-%20Number%20of%20Cases%20Filed%20by%20Year%20and%20Charge%20Type.csv
JD01,Ex_Charging and Filing_Percent of Cases Filed as Felonies,2. Charging and Filing,Percent of Cases Filed as Felonies,JD01 - Percent of Cases Filed as Felonies.csv,JD01/2. Charging and Filing/JD01 - Percent of Cases Filed as Felonies.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/2.%20Charging%20and%20Filing/JD01%20-%20Percent%20of%20Cases%20Filed%20as%20Felonies.csv
JD01,Ex_Charging and Filing_Violent Crimes Filed by Quarter,2. Charging and Filing,Violent Crimes Filed by Quarter,JD01 - Violent Crimes Filed by Quarter.csv,JD01/2. Charging and Filing/JD01 - Violent Crimes Filed by Quarter.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/2.%20Charging%20and%20Filing/JD01%20-%20Violent%20Crimes%20Filed%20by%20Quarter.csv
JD01,Ex_Charging and Filing_Violent Crimes Filed by Year,2. Charging and Filing,Violent Crimes Filed by Year,JD01 - Violent Crimes Filed by Year.csv,JD01/2. Charging and Filing/JD01 - Violent Crimes Filed by Year.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/2.%20Charging%20and%20Filing/JD01%20-%20Violent%20Crimes%20Filed%20by%20Year.csv
JD01,Ex_Case Resolution_Cases Resolved,3. Case Resolution,Cases Resolved,JD01 - Cases Resolved.csv,JD01/3. Case Resolution/JD01 - Cases Resolved.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/3.%20Case%20Resolution/JD01%20-%20Cases%20Resolved.csv
JD01,Ex_Case Resolution_Conforming to ABA Time Standards - Felonies,3. Case Resolution,Conforming to ABA Time Standards - Felonies,JD01 - Conforming to ABA Time Standards - Felonies.csv,JD01/3. Case Resolution/JD01 - Conforming to ABA Time Standards - Felonies.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/3.%20Case%20Resolution/JD01%20-%20Conforming%20to%20ABA%20Time%20Standards%20-%20Felonies.csv
JD01,Ex_Case Resolution_Conforming to ABA Time Standards - Misdemeanors,3. Case Resolution,Conforming to ABA Time Standards - Misdemeanors,JD01 - Conforming to ABA Time Standards - Misdemeanors.csv,JD01/3. Case Resolution/JD01 - Conforming to ABA Time Standards - Misdemeanors.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/3.%20Case%20Resolution/JD01%20-%20Conforming%20to%20ABA%20Time%20Standards%20-%20Misdemeanors.csv
JD01,Ex_Case Resolution_Felonies Resolved as Misdemeanors,3. Case Resolution,Felonies Resolved as Misdemeanors,JD01 - Felonies Resolved as Misdemeanors.csv,JD01/3. Case Resolution/JD01 - Felonies Resolved as Misdemeanors.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/3.%20Case%20Resolution/JD01%20-%20Felonies%20Resolved%20as%20Misdemeanors.csv
JD01,Ex_Case Resolution_Felony Cases Resolved by Disposition Type,3. Case Resolution,Felony Cases Resolved by Disposition Type,JD01 - Felony Cases Resolved by Disposition Type.csv,JD01/3. Case Resolution/JD01 - Felony Cases Resolved by Disposition Type.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/3.%20Case%20Resolution/JD01%20-%20Felony%20Cases%20Resolved%20by%20Disposition%20Type.csv
JD01,Ex_Case Resolution_Felony Dismissal Timeliness,3. Case Resolution,Felony Dismissal Timeliness,JD01 - Felony Dismissal Timeliness.csv,JD01/3. Case Resolution/JD01 - Felony Dismissal Timeliness.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/3.%20Case%20Resolution/JD01%20-%20Felony%20Dismissal%20Timeliness.csv
JD01,Ex_Case Resolution_Minimizing Delays in Felony Case Processing by Limiting Hearings,3. Case Resolution,Minimizing Delays in Felony Case Processing by Limiting Hearings,JD01 - Minimizing Delays in Felony Case Processing by Limiting Hearings.csv,JD01/3. Case Resolution/JD01 - Minimizing Delays in Felony Case Processing by Limiting Hearings.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/3.%20Case%20Resolution/JD01%20-%20Minimizing%20Delays%20in%20Felony%20Case%20Processing%20by%20Limiting%20Hearings.csv
JD01,Ex_Case Resolution_Misdemeanor Cases Resolved by Disposition Type,3. Case Resolution,Misdemeanor Cases Resolved by Disposition Type,JD01 - Misdemeanor Cases Resolved by Disposition Type.csv,JD01/3. Case Resolution/JD01 - Misdemeanor Cases Resolved by Disposition Type.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/3.%20Case%20Resolution/JD01%20-%20Misdemeanor%20Cases%20Resolved%20by%20Disposition%20Type.csv
JD01,Ex_Case Resolution_Plea Differences by Defendant Race_Ethnicity,3. Case Resolution,Plea Differences by Defendant Race Ethnicity,JD01 - Plea Differences by Defendant Race Ethnicity.csv,JD01/3. Case Resolution/JD01 - Plea Differences by Defendant Race Ethnicity.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/3.%20Case%20Resolution/JD01%20-%20Plea%20Differences%20by%20Defendant%20Race%20Ethnicity.csv
JD01,Ex_Case Resolution_Time to Felony Resolution,3. Case Resolution,Time to Felony Resolution,JD01 - Time to Felony Resolution.csv,JD01/3. Case Resolution/JD01 - Time to Felony Resolution.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/3.%20Case%20Resolution/JD01%20-%20Time%20to%20Felony%20Resolution.csv
JD01,Ex_Sentencing_Community Corrections as an Alternative to Prison for Felonies,5. Sentencing,Community Corrections as an Alternative to Prison for Felonies,JD01 - Community Corrections as an Alternative to Prison for Felonies.csv,JD01/5. Sentencing/JD01 - Community Corrections as an Alternative to Prison for Felonies.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/5.%20Sentencing/JD01%20-%20Community%20Corrections%20as%20an%20Alternative%20to%20Prison%20for%20Felonies.csv
JD01,Ex_Sentencing_Felony Incarceration Differences by Defendant Race_Ethnicity,5. Sentencing,Felony Incarceration Differences by Defendant Race Ethnicity,JD01 - Felony Incarceration Differences by Defendant Race Ethnicity.csv,JD01/5. Sentencing/JD01 - Felony Incarceration Differences by Defendant Race Ethnicity.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/5.%20Sentencing/JD01%20-%20Felony%20Incarceration%20Differences%20by%20Defendant%20Race%20Ethnicity.csv
JD01,Ex_Sentencing_Felony Incarceration Differences by Defense Attorney Type,5. Sentencing,Felony Incarceration Differences by Defense Attorney Type,JD01 - Felony Incarceration Differences by Defense Attorney Type.csv,JD01/5. Sentencing/JD01 - Felony Incarceration Differences by Defense Attorney Type.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/5.%20Sentencing/JD01%20-%20Felony%20Incarceration%20Differences%20by%20Defense%20Attorney%20Type.csv
