District,Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
01,2017 Q1,20,161,181,11.04972376,88.95027624
01,2017 Q2,20,140,160,12.5,87.5
01,2017 Q3,13,175,188,6.91489362,93.08510638
01,2017 Q4,19,141,160,11.875,88.125
01,2018 Q1,27,174,201,13.43283582,86.56716418
01,2018 Q2,22,172,194,11.34020619,88.65979381
01,2018 Q3,24,193,217,11.05990783,88.94009217
01,2018 Q4,24,173,197,12.18274112,87.81725888
01,2019 Q1,33,160,193,17.0984456,82.9015544
01,2019 Q2,26,169,195,13.33333333,86.66666667
01,2019 Q3,23,179,202,11.38613861,88.61386139
01,2019 Q4,25,130,155,16.12903226,83.87096774
01,2020 Q1,21,181,202,10.3960396,89.6039604
01,2020 Q2,29,195,224,12.94642857,87.05357143
01,2020 Q3,36,170,206,17.47572816,82.52427184
01,2020 Q4,37,122,159,23.27044025,76.72955975
01,2021 Q1,46,130,176,26.13636364,73.86363636
01,2021 Q2,28,156,184,15.2173913,84.7826087
01,2021 Q3,31,133,164,18.90243902,81.09756098
01,2021 Q4,39,149,188,20.74468085,79.25531915
01,2022 Q1,33,168,201,16.41791045,83.58208955
01,2022 Q2,38,139,177,21.46892655,78.53107345
01,2022 Q3,34,148,182,18.68131868,81.31868132
01,2022 Q4,25,169,194,12.88659794,87.11340206
01,2023 Q1,33,120,153,21.56862745,78.43137255
01,2023 Q2,19,125,144,13.19444444,86.80555556
01,2023 Q3,26,146,172,15.11627907,84.88372093
01,2023 Q4,31,147,178,17.41573034,82.58426966
01,2024 Q1,30,140,170,17.64705882,82.35294118
01,2024 Q2,25,137,162,15.43209877,84.56790123
01,2024 Q3,26,179,205,12.68292683,87.31707317
01,2024 Q4,31,148,179,17.31843575,82.68156425
01,2025 Q1,36,122,158,22.78481013,77.21518987
01,2025 Q2,50,133,183,27.32240437,72.67759563
01,2025 Q3,44,141,185,23.78378378,76.21621622
01,2025 Q4,36,164,200,18.0,82.0
01,2026 Q1,38,138,176,21.59090909,78.40909091
01,2026 Q2,32,134,166,19.27710843,80.72289157
01,2026 Q3,1,10,11,9.09090909,90.90909091
