Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,8,30,20,35,181,16.6,11.0
2017 Q2,12,36,20,27,160,22.5,12.5
2017 Q3,3,49,23,34,187,26.2,12.3
2017 Q4,3,29,21,36,158,18.4,13.3
2018 Q1,1,36,28,38,201,17.9,13.9
2018 Q2,1,43,31,43,194,22.2,16.0
2018 Q3,3,38,40,47,215,17.7,18.6
2018 Q4,2,43,33,34,197,21.8,16.8
2019 Q1,1,36,34,30,193,18.7,17.6
2019 Q2,4,31,34,36,195,15.9,17.4
2019 Q3,1,50,25,26,200,25.0,12.5
2019 Q4,2,36,19,21,153,23.5,12.4
2020 Q1,3,39,35,30,199,19.6,17.6
2020 Q2,4,35,35,43,223,15.7,15.7
2020 Q3,3,45,28,37,206,21.8,13.6
2020 Q4,2,28,30,33,157,17.8,19.1
2021 Q1,1,32,16,37,176,18.2,9.1
2021 Q2,1,37,31,39,181,20.4,17.1
2021 Q3,0,22,24,28,164,13.4,14.6
2021 Q4,3,22,39,41,187,11.8,20.9
2022 Q1,3,50,22,35,199,25.1,11.1
2022 Q2,1,36,27,27,177,20.3,15.3
2022 Q3,3,43,26,26,182,23.6,14.3
2022 Q4,5,37,30,36,193,19.2,15.5
2023 Q1,3,18,23,27,153,11.8,15.0
2023 Q2,6,23,23,27,144,16.0,16.0
2023 Q3,4,36,26,38,170,21.2,15.3
2023 Q4,2,34,24,35,178,19.1,13.5
2024 Q1,0,28,24,28,170,16.5,14.1
2024 Q2,2,31,22,39,162,19.1,13.6
2024 Q3,6,35,42,37,205,17.1,20.5
2024 Q4,2,39,20,37,177,22.0,11.3
2025 Q1,2,24,31,22,158,15.2,19.6
2025 Q2,2,23,24,35,183,12.6,13.1
2025 Q3,3,33,25,23,183,18.0,13.7
2025 Q4,1,33,40,36,199,16.6,20.1
2026 Q1,3,18,26,31,173,10.4,15.0
2026 Q2,0,31,26,25,165,18.8,15.8
