District,Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
01,2017,26,144,84,132,686,20.99125364,12.24489796
01,2018,7,160,132,162,807,19.82651797,16.35687732
01,2019,8,153,112,113,741,20.64777328,15.11470985
01,2020,12,147,128,143,785,18.72611465,16.30573248
01,2021,5,113,110,145,708,15.96045198,15.53672316
01,2022,12,166,105,124,751,22.10386152,13.98135819
01,2023,15,111,96,127,645,17.20930233,14.88372093
01,2024,10,133,108,141,714,18.62745098,15.12605042
01,2025,8,114,120,118,724,15.74585635,16.57458564
01,2026,6,48,55,55,346,13.87283237,15.89595376
