Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,82,97,28,314
2017 Q2,102,109,50,294
2017 Q3,78,130,38,268
2017 Q4,95,131,45,288
2018 Q1,131,150,49,281
2018 Q2,137,127,59,305
2018 Q3,109,144,70,346
2018 Q4,102,128,71,292
2019 Q1,104,164,85,340
2019 Q2,140,148,83,337
2019 Q3,125,134,49,296
2019 Q4,158,128,39,248
2020 Q1,150,165,43,292
2020 Q2,106,127,16,117
2020 Q3,121,136,27,137
2020 Q4,153,162,42,167
2021 Q1,154,178,52,162
2021 Q2,140,160,72,185
2021 Q3,134,227,83,222
2021 Q4,131,298,68,218
2022 Q1,142,275,100,217
2022 Q2,143,300,96,257
2022 Q3,160,301,97,231
2022 Q4,145,240,72,209
2023 Q1,149,298,63,271
2023 Q2,148,279,40,280
2023 Q3,171,299,49,239
2023 Q4,162,254,41,238
2024 Q1,140,260,54,219
2024 Q2,170,314,51,247
2024 Q3,142,288,50,231
2024 Q4,140,307,61,211
2025 Q1,155,315,67,219
2025 Q2,149,308,48,217
2025 Q3,158,265,51,242
2025 Q4,133,237,42,202
2026 Q1,136,253,37,187
2026 Q2,110,192,25,112
