DispositionQuarter,New case filed within 1 year - felony defendants,No new case filed within 1 year - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 1 year - misdemeanor defendants,No new case filed within 1 year - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,32,135,167,19.2,133,814,947,14.0
2019 Q2,28,151,179,15.6,127,1000,1127,11.3
2020 Q4,33,171,204,16.2,71,532,603,11.8
2025 Q3,74,194,268,27.6,93,341,434,21.4
2021 Q3,55,182,237,23.2,94,587,681,13.8
2023 Q1,78,223,301,25.9,80,345,425,18.8
2017 Q3,30,135,165,18.2,89,617,706,12.6
2025 Q4,63,178,241,26.1,72,309,381,18.9
2021 Q2,39,166,205,19.0,114,769,883,12.9
2019 Q1,36,166,202,17.8,104,823,927,11.2
2022 Q2,64,240,304,21.1,86,410,496,17.3
2018 Q1,25,159,184,13.6,97,705,802,12.1
2019 Q4,25,131,156,16.0,117,830,947,12.4
2021 Q1,44,182,226,19.5,89,662,751,11.9
2019 Q3,33,141,174,19.0,157,1330,1487,10.6
2024 Q1,63,202,265,23.8,91,329,420,21.7
2018 Q2,23,130,153,15.0,118,683,801,14.7
2020 Q1,42,174,216,19.4,107,707,814,13.1
2023 Q4,76,181,257,29.6,77,337,414,18.6
2018 Q4,31,132,163,19.0,89,792,881,10.1
2020 Q3,26,151,177,14.7,68,524,592,11.5
2017 Q4,33,126,159,20.8,91,630,721,12.6
2024 Q3,65,227,292,22.3,83,367,450,18.4
2024 Q2,78,236,314,24.8,120,394,514,23.3
2017 Q1,22,128,150,14.7,112,855,967,11.6
2022 Q3,67,235,302,22.2,94,383,477,19.7
2025 Q1,64,254,318,20.1,81,374,455,17.8
2023 Q2,77,204,281,27.4,64,351,415,15.4
2017 Q2,20,131,151,13.2,95,946,1041,9.1
2020 Q2,31,120,151,20.5,45,364,409,11.0
2023 Q3,72,230,302,23.8,80,353,433,18.5
2022 Q1,59,218,277,21.3,95,418,513,18.5
2024 Q4,87,221,308,28.2,100,327,427,23.4
2025 Q2,84,230,314,26.8,94,422,516,18.2
2021 Q4,72,229,301,23.9,73,380,453,16.1
2022 Q4,60,183,243,24.7,74,353,427,17.3
