Disposition Quarter,Average number of days from filing to dismissal,Median number of days from filing to dismissal
2017 Q1,208.47,115.0
2017 Q2,226.06,134.0
2017 Q3,159.73,93.0
2017 Q4,144.06,121.0
2018 Q1,153.96,114.0
2018 Q2,183.05,97.0
2018 Q3,202.95,154.5
2018 Q4,198.89,134.0
2019 Q1,186.05,146.0
2019 Q2,205.69,148.0
2019 Q3,211.27,134.0
2019 Q4,190.7,122.0
2020 Q1,294.58,121.0
2020 Q2,182.61,153.0
2020 Q3,231.83,228.0
2020 Q4,227.82,231.0
2021 Q1,302.62,257.5
2021 Q2,251.0,214.0
2021 Q3,259.79,191.0
2021 Q4,243.64,166.5
2022 Q1,196.0,154.0
2022 Q2,217.53,154.0
2022 Q3,300.14,262.5
2022 Q4,295.0,200.0
2023 Q1,397.78,223.0
2023 Q2,169.0,132.5
2023 Q3,188.23,182.0
2023 Q4,261.5,206.0
2024 Q1,273.89,155.0
2024 Q2,272.14,188.5
2024 Q3,290.24,196.0
2024 Q4,200.25,98.5
2025 Q1,210.26,168.0
2025 Q2,243.47,142.0
2025 Q3,167.82,105.0
2025 Q4,312.13,259.0
2026 Q1,192.06,103.0
2026 Q2,243.15,167.0
