Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,5,19,30,54
2017 Q2,9,28,52,89
2017 Q3,14,12,32,58
2017 Q4,11,16,15,42
2018 Q1,13,34,26,73
2018 Q2,10,16,27,53
2018 Q3,15,23,35,73
2018 Q4,14,22,23,59
2019 Q1,9,24,32,65
2019 Q2,26,21,41,88
2019 Q3,12,14,19,45
2019 Q4,23,26,28,77
2020 Q1,16,18,24,58
2020 Q2,13,15,23,51
2020 Q3,15,14,19,48
2020 Q4,12,12,25,49
2021 Q1,20,16,24,60
2021 Q2,25,24,29,78
2021 Q3,23,15,22,60
2021 Q4,24,28,20,72
2022 Q1,33,18,22,73
2022 Q2,30,15,27,72
2022 Q3,15,15,27,57
2022 Q4,22,17,24,63
2023 Q1,22,11,28,61
2023 Q2,16,11,25,52
2023 Q3,14,17,17,48
2023 Q4,15,9,18,42
2024 Q1,17,9,20,46
2024 Q2,16,16,12,44
2024 Q3,14,14,10,38
2024 Q4,17,18,10,45
2025 Q1,14,16,23,53
2025 Q2,17,8,11,36
2025 Q3,22,14,23,59
2025 Q4,10,6,21,37
2026 Q1,15,9,13,37
2026 Q2,7,9,16,32
