Disposition Quarter,Not disposed within 120 days,Disposed within 120 days,Total Cases Disposed,Felonies not resolved within 120 days,Felonies resolved within 120 days
2017 Q1,67,52,119,56.30252101,43.69747899
2017 Q2,70,45,115,60.86956522,39.13043478
2017 Q3,92,57,149,61.74496644,38.25503356
2017 Q4,103,58,161,63.97515528,36.02484472
2018 Q1,81,69,150,54.0,46.0
2018 Q2,69,77,146,47.26027397,52.73972603
2018 Q3,66,67,133,49.62406015,50.37593985
2018 Q4,111,69,180,61.66666667,38.33333333
2019 Q1,105,69,174,60.34482759,39.65517241
2019 Q2,85,65,150,56.66666667,43.33333333
2019 Q3,89,56,145,61.37931034,38.62068966
2019 Q4,100,55,155,64.51612903,35.48387097
2020 Q1,80,53,133,60.15037594,39.84962406
2020 Q2,60,36,96,62.5,37.5
2020 Q3,92,38,130,70.76923077,29.23076923
2020 Q4,65,49,114,57.01754386,42.98245614
2021 Q1,67,32,99,67.67676768,32.32323232
2021 Q2,80,43,123,65.04065041,34.95934959
2021 Q3,81,58,139,58.27338129,41.72661871
2021 Q4,81,43,124,65.32258065,34.67741935
2022 Q1,91,33,124,73.38709677,26.61290323
2022 Q2,79,37,116,68.10344828,31.89655172
2022 Q3,86,40,126,68.25396825,31.74603175
2022 Q4,43,30,73,58.90410959,41.09589041
2023 Q1,62,42,104,59.61538462,40.38461538
2023 Q2,76,48,124,61.29032258,38.70967742
2023 Q3,73,41,114,64.03508772,35.96491228
2023 Q4,49,53,102,48.03921569,51.96078431
2024 Q1,59,37,96,61.45833333,38.54166667
2024 Q2,79,31,110,71.81818182,28.18181818
2024 Q3,76,39,115,66.08695652,33.91304348
2024 Q4,79,44,123,64.22764228,35.77235772
2025 Q1,73,36,109,66.97247706,33.02752294
2025 Q2,66,65,131,50.38167939,49.61832061
2025 Q3,67,36,103,65.04854369,34.95145631
2025 Q4,61,44,105,58.0952381,41.9047619
2026 Q1,55,39,94,58.5106383,41.4893617
2026 Q2,53,34,87,60.91954023,39.08045977
