Disposition Quarter,Average number of hearings per case
2017 Q1,10.7398
2017 Q2,9.2414
2017 Q3,8.7365
2017 Q4,9.6852
2018 Q1,7.8917
2018 Q2,6.9732
2018 Q3,8.0741
2018 Q4,8.694
2019 Q1,8.3886
2019 Q2,8.6065
2019 Q3,8.7877
2019 Q4,9.4359
2020 Q1,8.1029
2020 Q2,9.3636
2020 Q3,9.209
2020 Q4,9.1754
2021 Q1,9.8725
2021 Q2,8.848
2021 Q3,8.5685
2021 Q4,9.0465
2022 Q1,8.6349
2022 Q2,9.4034
2022 Q3,9.4769
2022 Q4,9.2162
2023 Q1,7.8349
2023 Q2,7.9213
2023 Q3,9.6154
2023 Q4,8.9259
2024 Q1,8.8866
2024 Q2,9.6696
2024 Q3,9.8151
2024 Q4,9.4683
2025 Q1,8.8455
2025 Q2,8.1618
2025 Q3,8.4312
2025 Q4,9.4495
2026 Q1,8.8333
2026 Q2,9.83
