District,Disposition Quarter,Average number of hearings per case
06,2017 Q1,10.7398
06,2017 Q2,9.2414
06,2017 Q3,8.7365
06,2017 Q4,9.6852
06,2018 Q1,7.8917
06,2018 Q2,6.9732
06,2018 Q3,8.0741
06,2018 Q4,8.694
06,2019 Q1,8.3886
06,2019 Q2,8.6065
06,2019 Q3,8.7877
06,2019 Q4,9.4359
06,2020 Q1,8.1029
06,2020 Q2,9.3636
06,2020 Q3,9.209
06,2020 Q4,9.1754
06,2021 Q1,9.8725
06,2021 Q2,8.848
06,2021 Q3,8.5685
06,2021 Q4,9.0465
06,2022 Q1,8.6349
06,2022 Q2,9.4034
06,2022 Q3,9.4769
06,2022 Q4,9.2162
06,2023 Q1,7.8349
06,2023 Q2,7.9213
06,2023 Q3,9.6154
06,2023 Q4,8.9259
06,2024 Q1,8.8866
06,2024 Q2,9.6696
06,2024 Q3,9.8151
06,2024 Q4,9.4683
06,2025 Q1,8.8455
06,2025 Q2,8.1556
06,2025 Q3,8.4312
06,2025 Q4,9.4495
06,2026 Q1,8.8367
06,2026 Q2,10.087
