Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,192,9,0,201,4.5,66,88,154,42.9
2017 Q2,257,11,0,268,4.1,62,58,120,51.7
2017 Q3,222,10,1,233,4.3,66,100,166,39.8
2017 Q4,231,7,0,238,2.9,78,71,149,52.3
2018 Q1,234,17,0,251,6.8,73,70,143,51.0
2018 Q2,241,18,0,259,6.9,72,72,144,50.0
2018 Q3,297,26,2,325,8.0,69,78,147,46.9
2018 Q4,217,17,1,235,7.2,65,68,133,48.9
2019 Q1,271,20,2,293,6.8,78,69,147,53.1
2019 Q2,248,18,4,270,6.7,85,62,147,57.8
2019 Q3,299,22,7,328,6.7,93,95,188,49.5
2019 Q4,266,5,1,272,1.8,110,60,170,64.7
2020 Q1,238,20,0,258,7.8,87,76,163,53.4
2020 Q2,194,29,0,223,13.0,55,48,103,53.4
2020 Q3,211,25,1,237,10.5,61,65,126,48.4
2020 Q4,181,20,1,202,9.9,69,73,142,48.6
2021 Q1,209,21,0,230,9.1,54,70,124,43.5
2021 Q2,189,29,2,220,13.2,77,76,153,50.3
2021 Q3,189,22,1,212,10.4,80,65,145,55.2
2021 Q4,177,20,1,198,10.1,88,52,140,62.9
2022 Q1,191,25,0,216,11.6,72,56,128,56.2
2022 Q2,179,30,3,212,14.2,68,86,154,44.2
2022 Q3,160,38,2,200,19.0,75,67,142,52.8
2022 Q4,147,28,1,176,15.9,55,36,91,60.4
2023 Q1,126,25,1,152,16.4,49,60,109,45.0
2023 Q2,147,20,1,168,11.9,54,58,112,48.2
2023 Q3,157,15,0,172,8.7,44,54,98,44.9
2023 Q4,168,21,1,191,11.0,49,42,91,53.8
2024 Q1,175,26,0,201,12.9,56,44,100,56.0
2024 Q2,129,29,0,159,18.2,48,38,86,55.8
2024 Q3,170,21,7,199,10.6,48,36,84,57.1
2024 Q4,149,18,2,171,10.5,60,32,92,65.2
2025 Q1,151,15,0,166,9.0,64,36,100,64.0
2025 Q2,153,18,2,174,10.3,50,39,89,56.2
2025 Q3,142,16,1,159,10.1,33,38,71,46.5
2025 Q4,148,15,1,166,9.0,42,38,80,52.5
2026 Q1,127,16,1,144,11.1,43,39,82,52.4
2026 Q2,162,24,0,186,12.9,51,34,85,60.0
