DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,8,18,26,30.76923077,41,154,195,21.02564103
2019 Q2,5,18,23,21.73913043,48,140,188,25.53191489
2020 Q4,6,25,31,19.35483871,39,134,173,22.5433526
2025 Q3,3,8,11,27.27272727,23,108,131,17.55725191
2021 Q3,1,24,25,4.0,45,171,216,20.83333333
2023 Q1,1,12,13,7.69230769,28,171,199,14.07035176
2017 Q3,10,24,34,29.41176471,59,174,233,25.32188841
2025 Q4,2,12,14,14.28571429,23,110,133,17.29323308
2021 Q2,5,16,21,23.80952381,37,188,225,16.44444444
2019 Q1,7,21,28,25.0,42,142,184,22.82608696
2022 Q2,2,25,27,7.40740741,42,154,196,21.42857143
2018 Q1,9,17,26,34.61538462,39,149,188,20.74468085
2019 Q4,7,23,30,23.33333333,43,176,219,19.6347032
2021 Q1,2,21,23,8.69565217,41,179,220,18.63636364
2019 Q3,3,31,34,8.82352941,45,157,202,22.27722772
2024 Q1,0,11,11,0.0,30,131,161,18.63354037
2018 Q2,5,17,22,22.72727273,39,137,176,22.15909091
2020 Q1,6,18,24,25.0,44,165,209,21.05263158
2023 Q4,3,10,13,23.07692308,20,115,135,14.81481481
2018 Q4,3,30,33,9.09090909,40,126,166,24.09638554
2020 Q3,4,17,21,19.04761905,48,115,163,29.44785276
2017 Q4,4,13,17,23.52941176,46,124,170,27.05882353
2024 Q3,2,10,12,16.66666667,20,97,117,17.09401709
2024 Q2,1,13,14,7.14285714,11,97,108,10.18518519
2017 Q1,1,29,30,3.33333333,50,166,216,23.14814815
2022 Q3,3,11,14,21.42857143,31,134,165,18.78787879
2025 Q1,3,8,11,27.27272727,27,120,147,18.36734694
2023 Q2,2,25,27,7.40740741,25,119,144,17.36111111
2017 Q2,5,21,26,19.23076923,50,160,210,23.80952381
2020 Q2,8,13,21,38.0952381,14,100,114,12.28070175
2023 Q3,1,20,21,4.76190476,21,115,136,15.44117647
2022 Q1,8,9,17,47.05882353,50,157,207,24.15458937
2024 Q4,0,9,9,0.0,35,105,140,25.0
2025 Q2,4,10,14,28.57142857,24,82,106,22.64150943
2021 Q4,3,14,17,17.64705882,46,164,210,21.9047619
2022 Q4,1,4,5,20.0,37,122,159,23.27044025
