District,Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
08,2017 Q1,803,18,1,822,2.18978102,149,329,478,31.17154812
08,2017 Q2,687,13,1,701,1.85449358,159,390,549,28.96174863
08,2017 Q3,801,15,1,817,1.83598531,158,374,532,29.69924812
08,2017 Q4,738,8,0,746,1.07238606,148,417,565,26.19469027
08,2018 Q1,780,20,1,801,2.4968789,135,375,510,26.47058824
08,2018 Q2,765,25,1,791,3.16055626,139,476,615,22.60162602
08,2018 Q3,796,24,5,825,2.90909091,135,428,563,23.97868561
08,2018 Q4,711,19,3,733,2.59208731,143,398,541,26.43253235
08,2019 Q1,706,30,0,736,4.07608696,140,442,582,24.05498282
08,2019 Q2,749,29,0,778,3.72750643,137,423,560,24.46428571
08,2019 Q3,819,23,1,843,2.72835113,165,384,549,30.05464481
08,2019 Q4,668,31,2,701,4.42225392,161,402,563,28.59680284
08,2020 Q1,689,17,1,707,2.40452617,158,369,527,29.98102467
08,2020 Q2,630,24,2,656,3.65853659,94,241,335,28.05970149
08,2020 Q3,559,25,4,588,4.25170068,139,322,461,30.15184382
08,2020 Q4,599,7,0,606,1.15511551,152,316,468,32.47863248
08,2021 Q1,541,31,0,572,5.41958042,159,250,409,38.87530562
08,2021 Q2,534,15,0,549,2.73224044,143,318,461,31.01952278
08,2021 Q3,522,25,0,547,4.57038391,147,328,475,30.94736842
08,2021 Q4,474,26,0,500,5.2,132,250,382,34.55497382
08,2022 Q1,462,26,0,488,5.32786885,143,272,415,34.45783133
08,2022 Q2,472,31,2,505,6.13861386,131,255,386,33.93782383
08,2022 Q3,532,39,0,571,6.83012259,124,221,345,35.94202899
08,2022 Q4,518,32,1,551,5.8076225,139,236,375,37.06666667
08,2023 Q1,512,26,1,539,4.82374768,128,249,377,33.95225464
08,2023 Q2,476,29,2,508,5.70866142,140,273,413,33.89830508
08,2023 Q3,529,25,2,558,4.48028674,129,249,378,34.12698413
08,2023 Q4,521,15,1,537,2.79329609,124,195,319,38.87147335
08,2024 Q1,514,12,0,528,2.27272727,126,224,350,36.0
08,2024 Q2,539,23,0,562,4.09252669,133,211,344,38.6627907
08,2024 Q3,515,50,1,566,8.83392226,100,217,317,31.54574132
08,2024 Q4,537,19,0,558,3.40501792,134,234,368,36.41304348
08,2025 Q1,494,29,0,523,5.54493308,107,238,345,31.01449275
08,2025 Q2,516,29,1,547,5.30164534,127,278,405,31.35802469
08,2025 Q3,527,42,1,570,7.36842105,102,242,344,29.65116279
08,2025 Q4,462,32,0,495,6.46464646,114,219,333,34.23423423
08,2026 Q1,480,27,1,508,5.31496063,132,252,384,34.375
08,2026 Q2,484,28,0,512,5.46875,113,203,316,35.75949367
08,2026 Q3,10,2,0,12,16.66666667,1,2,3,33.33333333
