Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,149,329,478,31.17154812
2017 Q2,159,390,549,28.96174863
2017 Q3,158,374,532,29.69924812
2017 Q4,148,417,565,26.19469027
2018 Q1,135,375,510,26.47058824
2018 Q2,139,476,615,22.60162602
2018 Q3,135,428,563,23.97868561
2018 Q4,143,398,541,26.43253235
2019 Q1,140,442,582,24.05498282
2019 Q2,137,423,560,24.46428571
2019 Q3,165,384,549,30.05464481
2019 Q4,161,402,563,28.59680284
2020 Q1,158,369,527,29.98102467
2020 Q2,94,241,335,28.05970149
2020 Q3,139,322,461,30.15184382
2020 Q4,152,316,468,32.47863248
2021 Q1,159,250,409,38.87530562
2021 Q2,143,318,461,31.01952278
2021 Q3,147,328,475,30.94736842
2021 Q4,132,250,382,34.55497382
2022 Q1,143,272,415,34.45783133
2022 Q2,131,255,386,33.93782383
2022 Q3,124,221,345,35.94202899
2022 Q4,139,236,375,37.06666667
2023 Q1,128,249,377,33.95225464
2023 Q2,140,273,413,33.89830508
2023 Q3,129,249,378,34.12698413
2023 Q4,124,195,319,38.87147335
2024 Q1,126,224,350,36.0
2024 Q2,133,211,344,38.6627907
2024 Q3,100,217,317,31.54574132
2024 Q4,134,234,368,36.41304348
2025 Q1,107,238,345,31.01449275
2025 Q2,127,278,405,31.35802469
2025 Q3,102,242,344,29.65116279
2025 Q4,114,219,333,34.23423423
2026 Q1,132,252,384,34.375
2026 Q2,113,203,316,35.75949367
