District,Filing Quarter,Number of violent cases filed involving a child victim
08,2017 Q1,14
08,2017 Q2,18
08,2017 Q3,23
08,2017 Q4,12
08,2018 Q1,14
08,2018 Q2,18
08,2018 Q3,21
08,2018 Q4,21
08,2019 Q1,22
08,2019 Q2,8
08,2019 Q3,16
08,2019 Q4,21
08,2020 Q1,9
08,2020 Q2,18
08,2020 Q3,11
08,2020 Q4,30
08,2021 Q1,12
08,2021 Q2,18
08,2021 Q3,12
08,2021 Q4,19
08,2022 Q1,21
08,2022 Q2,18
08,2022 Q3,20
08,2022 Q4,33
08,2023 Q1,22
08,2023 Q2,23
08,2023 Q3,24
08,2023 Q4,20
08,2024 Q1,14
08,2024 Q2,23
08,2024 Q3,19
08,2024 Q4,16
08,2025 Q1,9
08,2025 Q2,37
08,2025 Q3,21
08,2025 Q4,17
08,2026 Q1,15
08,2026 Q2,20
