Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,23.7353,22.1034
2017 Q2,20.8235,25.2143
2017 Q3,21.7027,24.5385
2017 Q4,18.95,22.8387
2018 Q1,19.7317,18.3889
2018 Q2,18.2857,19.5641
2018 Q3,21.3889,20.7059
2018 Q4,18.1,20.0625
2019 Q1,18.8974,19.8
2019 Q2,19.8421,20.6471
2019 Q3,19.7209,20.1176
2019 Q4,17.225,20.1471
2020 Q1,17.6667,19.875
2020 Q2,16.7429,14.875
2020 Q3,15.4,17.0
2020 Q4,17.1818,16.3125
2021 Q1,14.8529,17.12
2021 Q2,14.1944,19.0357
2021 Q3,15.1212,15.9063
2021 Q4,14.0938,16.3214
2022 Q1,14.7667,17.8621
2022 Q2,13.1429,16.96
2022 Q3,14.6571,14.6667
2022 Q4,16.2667,14.8438
2023 Q1,17.9259,16.1
2023 Q2,16.2667,16.2188
2023 Q3,17.7667,17.9615
2023 Q4,19.4074,15.2857
2024 Q1,19.7778,19.8696
2024 Q2,21.2692,17.0645
2024 Q3,20.7308,19.6667
2024 Q4,23.36,20.7917
2025 Q1,19.5769,19.6296
2025 Q2,22.48,21.4815
2025 Q3,26.6667,21.9167
2025 Q4,24.0,23.8095
2026 Q1,23.8182,22.36
2026 Q2,23.5,24.2632
