District,Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
09,2017,1241,4,1245,3,127,76,289,63,122,680,0.32128514,11.17647059
09,2018,896,27,923,2,148,63,38,39,359,649,2.92524377,9.70724191
09,2019,900,58,958,1,131,97,10,44,453,736,6.05427975,13.17934783
09,2020,698,51,749,3,122,70,14,33,424,666,6.80907877,10.51051051
09,2021,677,34,711,4,97,125,11,62,376,675,4.78199719,18.51851852
09,2022,531,76,607,14,77,112,14,54,338,609,12.52059308,18.3908046
09,2023,528,89,617,6,105,54,13,38,276,492,14.42463533,10.97560976
09,2024,574,46,620,4,66,69,14,35,265,453,7.41935484,15.23178808
09,2025,488,71,559,2,79,51,14,26,257,429,12.70125224,11.88811189
09,2026,250,21,271,2,48,23,5,10,137,225,7.74907749,10.22222222
