Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,38.675,0.0
2017 Q2,99.0656,0.0
2017 Q3,103.1429,0.0
2017 Q4,141.8636,0.0
2018 Q1,194.8264,163.0
2018 Q2,199.1209,151.0
2018 Q3,218.9861,165.0
2018 Q4,248.7343,205.0
2019 Q1,231.8904,168.5
2019 Q2,246.7172,188.5
2019 Q3,221.2604,169.0
2019 Q4,246.9312,175.0
2020 Q1,269.1737,216.5
2020 Q2,292.6667,251.0
2020 Q3,275.1167,236.0
2020 Q4,307.3721,251.0
2021 Q1,268.6525,239.0
2021 Q2,307.4336,247.0
2021 Q3,320.7692,243.0
2021 Q4,319.837,291.0
2022 Q1,331.3742,253.0
2022 Q2,330.9542,321.0
2022 Q3,365.339,332.0
2022 Q4,316.0642,211.0
2023 Q1,315.5143,249.0
2023 Q2,303.0336,255.0
2023 Q3,286.624,251.0
2023 Q4,255.2308,230.5
2024 Q1,323.6476,269.0
2024 Q2,303.236,275.0
2024 Q3,282.4417,250.5
2024 Q4,256.6667,220.0
2025 Q1,259.8852,247.5
2025 Q2,280.6771,261.0
2025 Q3,292.4074,251.5
2025 Q4,295.0526,262.5
2026 Q1,313.9099,251.0
2026 Q2,266.15,229.5
