Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,10,125,19,43,27,4,22,1,251,19.1,49.8,31.1
2017 Q2,15,122,24,35,34,4,30,5,269,16.4,45.4,38.3
2017 Q3,23,121,13,42,29,1,38,5,272,17.6,44.5,37.9
2017 Q4,26,130,19,57,45,2,21,6,306,21.2,42.5,36.3
2018 Q1,9,112,25,35,20,3,22,1,227,17.2,49.3,33.5
2018 Q2,15,58,10,23,23,4,5,1,139,20.1,41.7,38.1
2018 Q3,9,45,11,32,22,0,4,3,126,27.8,35.7,36.5
2018 Q4,10,46,9,23,5,3,8,0,104,25.0,44.2,30.8
2019 Q1,12,43,2,16,15,3,8,0,99,19.2,43.4,37.4
2019 Q2,11,51,7,25,21,1,10,0,126,20.6,40.5,38.9
2019 Q3,8,56,7,21,11,4,4,0,111,22.5,50.5,27.0
2019 Q4,14,50,6,19,12,1,12,1,115,18.3,43.5,38.3
2020 Q1,9,40,5,17,15,4,5,3,98,24.5,40.8,34.7
2020 Q2,8,27,3,19,7,2,1,1,68,32.4,39.7,27.9
2020 Q3,7,32,0,11,15,1,2,4,72,22.2,44.4,33.3
2020 Q4,6,33,7,22,17,0,3,0,88,25.0,37.5,37.5
2021 Q1,3,30,4,11,8,2,5,1,64,21.9,46.9,31.2
2021 Q2,8,28,4,14,17,0,4,3,78,21.8,35.9,42.3
2021 Q3,19,25,8,9,17,2,9,3,92,15.2,27.2,57.6
2021 Q4,9,30,6,20,18,0,6,2,91,24.2,33.0,42.9
2022 Q1,16,33,6,22,18,3,3,4,105,27.6,31.4,41.0
2022 Q2,11,41,7,18,13,2,5,1,98,21.4,41.8,36.7
2022 Q3,6,61,11,14,14,2,6,0,114,14.0,53.5,32.5
2022 Q4,7,48,1,17,14,1,4,0,92,19.6,52.2,28.3
2023 Q1,6,49,4,13,14,1,5,1,93,16.1,52.7,31.2
2023 Q2,6,68,10,18,13,3,3,0,121,17.4,56.2,26.4
2023 Q3,7,50,1,24,9,1,4,2,98,27.6,51.0,21.4
2023 Q4,3,53,7,19,8,4,2,2,98,25.5,54.1,20.4
2024 Q1,6,52,8,16,10,1,1,0,94,18.1,55.3,26.6
2024 Q2,4,50,3,17,16,1,6,1,98,19.4,51.0,29.6
2024 Q3,12,48,5,13,7,4,4,0,93,18.3,51.6,30.1
2024 Q4,7,22,9,16,11,2,3,1,71,26.8,31.0,42.3
2025 Q1,5,37,6,17,12,5,4,0,86,25.6,43.0,31.4
2025 Q2,6,62,4,17,8,2,5,0,104,18.3,59.6,22.1
2025 Q3,7,57,3,12,16,2,7,2,106,15.1,53.8,31.1
2025 Q4,5,45,2,11,10,0,8,2,83,15.7,54.2,30.1
2026 Q1,5,53,3,15,7,0,7,2,92,18.5,57.6,23.9
2026 Q2,6,36,4,13,5,1,5,2,72,22.2,50.0,27.8
