DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,3,20,23,13.04347826,45,159,204,22.05882353
2019 Q2,6,21,27,22.22222222,29,124,153,18.95424837
2020 Q4,0,15,15,0.0,18,115,133,13.53383459
2025 Q3,5,17,22,22.72727273,16,128,144,11.11111111
2021 Q3,1,11,12,8.33333333,15,146,161,9.31677019
2023 Q1,1,16,17,5.88235294,28,120,148,18.91891892
2017 Q3,11,7,18,61.11111111,21,32,53,39.62264151
2025 Q4,0,8,8,0.0,18,138,156,11.53846154
2021 Q2,2,12,14,14.28571429,18,134,152,11.84210526
2019 Q1,1,15,16,6.25,28,122,150,18.66666667
2022 Q2,2,20,22,9.09090909,18,173,191,9.42408377
2018 Q1,4,16,20,20.0,32,113,145,22.06896552
2019 Q4,5,27,32,15.625,38,161,199,19.09547739
2021 Q1,5,20,25,20.0,22,135,157,14.01273885
2019 Q3,2,20,22,9.09090909,28,150,178,15.73033708
2024 Q1,4,16,20,20.0,14,96,110,12.72727273
2018 Q2,4,10,14,28.57142857,36,135,171,21.05263158
2020 Q1,6,31,37,16.21621622,35,175,210,16.66666667
2023 Q4,6,12,18,33.33333333,24,105,129,18.60465116
2018 Q4,7,22,29,24.13793103,32,152,184,17.39130435
2020 Q3,2,21,23,8.69565217,32,131,163,19.63190184
2017 Q4,10,8,18,55.55555556,33,51,84,39.28571429
2024 Q3,1,14,15,6.66666667,21,140,161,13.04347826
2024 Q2,1,13,14,7.14285714,28,131,159,17.61006289
2017 Q1,8,10,18,44.44444444,17,37,54,31.48148148
2022 Q3,3,13,16,18.75,22,153,175,12.57142857
2025 Q1,2,18,20,10.0,31,173,204,15.19607843
2023 Q2,1,18,19,5.26315789,22,126,148,14.86486486
2017 Q2,8,12,20,40.0,35,51,86,40.69767442
2020 Q2,3,29,32,9.375,22,104,126,17.46031746
2023 Q3,2,20,22,9.09090909,12,93,105,11.42857143
2022 Q1,1,13,14,7.14285714,31,152,183,16.93989071
2024 Q4,2,15,17,11.76470588,16,137,153,10.45751634
2021 Q4,4,18,22,18.18181818,32,169,201,15.92039801
2025 Q2,0,16,16,0.0,35,138,173,20.23121387
2022 Q4,4,17,21,19.04761905,19,110,129,14.72868217
