Disposition Quarter,Conviction,No Conviction,Total
2017 Q1,3,1,4
2017 Q2,9,2,11
2017 Q3,1,0,1
2017 Q4,1,0,1
2018 Q1,5,2,7
2018 Q2,4,0,4
2018 Q3,3,1,4
2018 Q4,6,1,7
2019 Q1,7,2,9
2019 Q2,6,0,6
2019 Q3,6,1,7
2019 Q4,3,1,4
2020 Q1,6,5,11
2020 Q2,2,0,2
2020 Q3,2,2,4
2020 Q4,1,2,3
2021 Q1,3,4,7
2021 Q2,2,1,3
2021 Q3,4,8,12
2021 Q4,1,4,5
2022 Q1,4,3,7
2022 Q2,7,3,10
2022 Q3,2,2,4
2022 Q4,3,6,9
2023 Q1,4,1,5
2023 Q2,3,2,5
2023 Q3,2,1,3
2023 Q4,5,2,7
2024 Q1,3,1,4
2024 Q2,4,0,4
2024 Q3,6,1,7
2024 Q4,5,3,8
2025 Q1,8,3,11
2025 Q2,6,0,6
2025 Q3,2,4,6
2025 Q4,0,3,3
