Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,2,6,1,3,23,26.08695652,4.34782609
2017 Q2,0,11,0,6,35,31.42857143,0.0
2017 Q3,0,10,1,5,31,32.25806452,3.22580645
2017 Q4,1,12,2,5,33,36.36363636,6.06060606
2018 Q1,2,8,5,3,28,28.57142857,17.85714286
2018 Q2,0,4,0,3,14,28.57142857,0.0
2018 Q3,1,7,6,8,31,22.58064516,19.35483871
2018 Q4,0,7,2,11,28,25.0,7.14285714
2019 Q1,0,2,2,7,22,9.09090909,9.09090909
2019 Q2,1,1,2,2,19,5.26315789,10.52631579
2019 Q3,0,8,1,5,29,27.5862069,3.44827586
2019 Q4,2,4,4,8,32,12.5,12.5
2020 Q1,5,7,0,5,31,22.58064516,0.0
2020 Q2,2,6,5,7,33,18.18181818,15.15151515
2020 Q3,1,5,3,5,29,17.24137931,10.34482759
2020 Q4,2,6,1,6,29,20.68965517,3.44827586
2021 Q1,3,7,3,15,48,14.58333333,6.25
2021 Q2,1,4,1,12,37,10.81081081,2.7027027
2021 Q3,2,5,0,7,27,18.51851852,0.0
2021 Q4,0,3,4,5,18,16.66666667,22.22222222
2022 Q1,1,4,0,3,17,23.52941176,0.0
2022 Q2,0,8,1,6,32,25.0,3.125
2022 Q3,1,10,0,5,30,33.33333333,0.0
2022 Q4,1,4,1,10,28,14.28571429,3.57142857
2023 Q1,2,2,1,6,23,8.69565217,4.34782609
2023 Q2,1,6,2,8,31,19.35483871,6.4516129
2023 Q3,0,2,1,6,27,7.40740741,3.7037037
2023 Q4,0,3,1,4,21,14.28571429,4.76190476
2024 Q1,0,7,0,6,26,26.92307692,0.0
2024 Q2,1,6,2,4,28,21.42857143,7.14285714
2024 Q3,1,6,0,4,23,26.08695652,0.0
2024 Q4,0,6,0,6,29,20.68965517,0.0
2025 Q1,3,2,0,10,30,6.66666667,0.0
2025 Q2,0,3,2,6,24,12.5,8.33333333
2025 Q3,0,7,0,5,23,30.43478261,0.0
2025 Q4,2,5,4,5,25,20.0,16.0
2026 Q1,2,5,5,8,31,16.12903226,16.12903226
2026 Q2,2,4,3,4,18,22.22222222,16.66666667
