District,Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
11,2017 Q1,147.6325,98.0
11,2017 Q2,149.4749,99.0
11,2017 Q3,123.7549,91.0
11,2017 Q4,145.7421,101.0
11,2018 Q1,158.0143,118.0
11,2018 Q2,155.0304,111.5
11,2018 Q3,136.5689,83.0
11,2018 Q4,131.5911,84.0
11,2019 Q1,149.6375,103.5
11,2019 Q2,154.8397,112.0
11,2019 Q3,155.5966,110.5
11,2019 Q4,140.8899,101.5
11,2020 Q1,153.4907,116.5
11,2020 Q2,152.8293,113.5
11,2020 Q3,172.2711,123.0
11,2020 Q4,210.9141,160.0
11,2021 Q1,201.855,153.0
11,2021 Q2,238.0893,196.0
11,2021 Q3,251.123,204.0
11,2021 Q4,211.2449,166.0
11,2022 Q1,218.5223,166.5
11,2022 Q2,258.4009,210.5
11,2022 Q3,229.8683,179.0
11,2022 Q4,200.2826,145.5
11,2023 Q1,242.7175,169.0
11,2023 Q2,189.1978,153.0
11,2023 Q3,228.7007,159.0
11,2023 Q4,220.5705,138.0
11,2024 Q1,228.425,160.5
11,2024 Q2,240.8182,188.0
11,2024 Q3,215.216,143.5
11,2024 Q4,190.463,133.5
11,2025 Q1,202.4315,161.5
11,2025 Q2,208.8671,171.0
11,2025 Q3,234.527,195.5
11,2025 Q4,226.7333,185.0
11,2026 Q1,268.2566,214.5
11,2026 Q2,264.24,245.0
