Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,19,33,23,39,27,1,15,1,158,25.94936709,20.88607595,53.16455696
2017 Q2,20,33,22,34,12,2,12,1,136,27.20588235,24.26470588,48.52941176
2017 Q3,17,41,20,34,19,1,19,1,152,23.68421053,26.97368421,49.34210526
2017 Q4,21,35,14,37,27,8,17,3,162,29.62962963,21.60493827,48.7654321
2018 Q1,16,27,26,35,15,4,16,1,140,28.57142857,19.28571429,52.14285714
2018 Q2,14,40,22,44,18,3,17,2,160,30.625,25.0,44.375
2018 Q3,13,35,23,30,20,1,18,4,144,24.30555556,24.30555556,51.38888889
2018 Q4,11,31,12,28,25,2,17,2,128,25.0,24.21875,50.78125
2019 Q1,17,37,30,48,21,1,8,1,163,30.67484663,22.6993865,46.62576687
2019 Q2,16,43,14,34,14,3,15,2,141,27.65957447,30.4964539,41.84397163
2019 Q3,16,52,24,35,22,3,12,1,165,23.63636364,31.51515152,44.84848485
2019 Q4,13,43,12,28,22,2,3,0,123,24.3902439,34.95934959,40.6504065
2020 Q1,21,41,26,27,23,0,3,1,142,19.71830986,28.87323944,51.4084507
2020 Q2,7,20,7,19,11,1,2,3,70,32.85714286,28.57142857,38.57142857
2020 Q3,8,34,22,26,20,2,5,2,119,25.21008403,28.57142857,46.21848739
2020 Q4,4,23,21,30,22,1,2,1,104,30.76923077,22.11538462,47.11538462
2021 Q1,8,16,17,33,21,2,8,2,107,34.57943925,14.95327103,50.46728972
2021 Q2,16,25,17,38,22,4,5,1,128,33.59375,19.53125,46.875
2021 Q3,18,26,20,24,13,1,8,1,111,23.42342342,23.42342342,53.15315315
2021 Q4,15,28,14,34,10,5,3,4,113,38.05309735,24.77876106,37.16814159
2022 Q1,11,23,22,33,23,6,8,1,127,31.49606299,18.11023622,50.39370079
2022 Q2,9,25,19,20,15,2,7,2,99,24.24242424,25.25252525,50.50505051
2022 Q3,12,16,16,21,16,4,6,3,94,29.78723404,17.0212766,53.19148936
2022 Q4,13,19,15,16,9,1,6,1,80,22.5,23.75,53.75
2023 Q1,10,14,4,14,8,7,2,1,60,36.66666667,23.33333333,40.0
2023 Q2,3,18,5,20,13,2,3,5,69,39.13043478,26.08695652,34.7826087
2023 Q3,9,22,8,16,8,2,0,2,67,29.85074627,32.8358209,37.31343284
2023 Q4,8,17,11,17,13,2,4,1,73,27.39726027,23.28767123,49.31506849
2024 Q1,14,17,9,14,9,4,6,3,76,27.63157895,22.36842105,50.0
2024 Q2,7,23,7,19,12,3,2,1,74,31.08108108,31.08108108,37.83783784
2024 Q3,7,14,10,16,22,2,1,0,72,25.0,19.44444444,55.55555556
2024 Q4,7,16,8,19,14,1,3,1,69,30.43478261,23.1884058,46.37681159
2025 Q1,13,30,6,14,10,2,0,0,75,21.33333333,40.0,38.66666667
2025 Q2,4,24,11,12,12,1,1,1,66,21.21212121,36.36363636,42.42424242
2025 Q3,6,28,11,21,9,0,1,2,78,29.48717949,35.8974359,34.61538462
2025 Q4,7,27,9,8,6,3,2,2,64,20.3125,42.1875,37.5
