Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,245,661,30,936,26.2
2017 Q2,255,619,22,896,28.5
2017 Q3,322,596,30,948,34.0
2017 Q4,269,497,15,781,34.4
2018 Q1,240,548,15,803,29.9
2018 Q2,235,581,12,828,28.4
2018 Q3,193,556,20,769,25.1
2018 Q4,238,483,22,743,32.0
2019 Q1,252,556,23,831,30.3
2019 Q2,210,504,14,728,28.8
2019 Q3,257,492,20,769,33.4
2019 Q4,184,523,29,736,25.0
2020 Q1,173,466,25,664,26.1
2020 Q2,184,433,19,636,28.9
2020 Q3,166,569,30,765,21.7
2020 Q4,148,602,24,774,19.1
2021 Q1,145,896,27,1068,13.6
2021 Q2,220,714,24,958,23.0
2021 Q3,206,723,28,957,21.5
2021 Q4,151,605,30,786,19.2
2022 Q1,182,620,19,821,22.2
2022 Q2,174,453,24,651,26.7
2022 Q3,110,440,36,586,18.8
2022 Q4,154,610,36,800,19.2
2023 Q1,164,524,43,731,22.4
2023 Q2,161,514,40,715,22.5
2023 Q3,158,571,51,780,20.3
2023 Q4,176,629,42,847,20.8
2024 Q1,172,547,43,762,22.6
2024 Q2,162,571,40,773,21.0
2024 Q3,142,614,35,791,18.0
2024 Q4,124,593,34,751,16.5
2025 Q1,117,615,66,798,14.7
2025 Q2,144,569,67,780,18.5
2025 Q3,138,601,99,838,16.5
2025 Q4,129,463,56,648,19.9
2026 Q1,133,464,55,652,20.4
2026 Q2,157,481,126,764,20.5
