Disposition Quarter,Average number of days from filing to dismissal,Median number of days from filing to dismissal
2017 Q1,177.38,176.0
2017 Q2,143.42,117.0
2017 Q3,302.46,174.5
2017 Q4,246.62,231.0
2018 Q1,162.03,116.0
2018 Q2,274.31,234.0
2018 Q3,439.23,346.0
2018 Q4,378.79,205.5
2019 Q1,295.57,255.5
2019 Q2,317.02,275.0
2019 Q3,269.29,241.0
2019 Q4,212.73,203.0
2020 Q1,236.04,183.0
2020 Q2,439.85,510.0
2020 Q3,225.63,216.0
2020 Q4,276.12,221.0
2021 Q1,280.41,219.0
2021 Q2,196.86,151.5
2021 Q3,214.68,126.5
2021 Q4,289.85,171.5
2022 Q1,192.71,170.0
2022 Q2,235.76,202.0
2022 Q3,212.4,176.0
2022 Q4,189.04,121.0
2023 Q1,233.06,112.0
2023 Q2,268.61,244.5
2023 Q3,333.23,314.0
2023 Q4,254.4,261.0
2024 Q1,143.74,143.0
2024 Q2,240.15,230.0
2024 Q3,289.5,229.5
2024 Q4,181.55,125.5
2025 Q1,287.72,215.0
2025 Q2,306.22,283.0
2025 Q3,251.95,247.0
2025 Q4,226.69,172.0
2026 Q1,197.0,211.0
2026 Q2,200.74,214.5
