Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,17,9,11,37
2017 Q2,10,8,6,24
2017 Q3,14,22,28,64
2017 Q4,17,15,19,51
2018 Q1,8,13,12,33
2018 Q2,10,10,15,35
2018 Q3,13,5,11,29
2018 Q4,5,7,7,19
2019 Q1,5,3,10,18
2019 Q2,9,17,33,59
2019 Q3,13,5,9,27
2019 Q4,14,6,13,33
2020 Q1,14,15,31,60
2020 Q2,23,21,15,59
2020 Q3,12,11,6,29
2020 Q4,9,5,6,20
2021 Q1,4,4,4,12
2021 Q2,8,9,5,22
2021 Q3,4,9,3,16
2021 Q4,16,15,9,40
2022 Q1,12,12,8,32
2022 Q2,8,9,3,20
2022 Q3,9,12,5,26
2022 Q4,12,9,12,33
2023 Q1,10,7,10,27
2023 Q2,9,10,8,27
2023 Q3,15,6,6,27
2023 Q4,25,10,11,46
2024 Q1,12,9,3,24
2024 Q2,20,8,8,36
2024 Q3,9,12,5,26
2024 Q4,7,4,5,16
2025 Q1,17,16,8,41
2025 Q2,15,10,9,34
2025 Q3,14,13,7,34
2025 Q4,14,8,2,24
2026 Q1,16,14,10,40
2026 Q2,11,8,6,25
