District,Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
17,2017 Q1,1243,3545,214
17,2017 Q2,1300,3409,217
17,2017 Q3,1433,3467,166
17,2017 Q4,1449,3470,167
17,2018 Q1,1316,3376,155
17,2018 Q2,1412,3472,171
17,2018 Q3,1480,3542,228
17,2018 Q4,1276,3651,220
17,2019 Q1,1333,4045,212
17,2019 Q2,1465,3739,194
17,2019 Q3,1391,3703,194
17,2019 Q4,1481,3796,182
17,2020 Q1,1305,3555,132
17,2020 Q2,1080,2259,80
17,2020 Q3,1137,3144,109
17,2020 Q4,1051,2973,135
17,2021 Q1,984,3050,102
17,2021 Q2,1100,3708,128
17,2021 Q3,1172,3303,92
17,2021 Q4,1121,3165,106
17,2022 Q1,1008,2795,84
17,2022 Q2,966,2822,122
17,2022 Q3,1070,2936,132
17,2022 Q4,1050,2738,126
17,2023 Q1,1154,2966,174
17,2023 Q2,1038,3030,159
17,2023 Q3,1095,3243,187
17,2023 Q4,1065,3133,149
17,2024 Q1,1041,3205,164
17,2024 Q2,1122,3282,194
17,2024 Q3,1045,3470,236
17,2024 Q4,1014,3389,213
17,2025 Q1,948,4143,174
17,2025 Q2,902,5594,234
17,2025 Q3,936,5335,328
17,2025 Q4,787,4985,279
17,2026 Q1,834,4928,286
17,2026 Q2,806,4593,264
17,2026 Q3,30,152,9
17,2026 Q4,0,2,0
17,2036 Q1,0,1,0
