Disposition Quarter,Average number of days to felony resolution,Median number of days to felony resolution
2017 Q1,189.1726,144.0
2017 Q2,190.4627,146.0
2017 Q3,182.3448,141.0
2017 Q4,181.6992,145.0
2018 Q1,180.059,145.0
2018 Q2,192.4461,152.5
2018 Q3,191.3695,141.0
2018 Q4,205.3498,152.0
2019 Q1,215.6227,171.0
2019 Q2,208.9433,161.5
2019 Q3,217.0418,164.0
2019 Q4,208.4512,160.5
2020 Q1,228.8613,181.0
2020 Q2,289.4695,267.0
2020 Q3,296.6541,266.0
2020 Q4,284.3957,261.0
2021 Q1,300.9239,267.0
2021 Q2,324.6999,292.0
2021 Q3,327.5876,287.5
2021 Q4,323.3973,265.0
2022 Q1,324.001,268.0
2022 Q2,334.4638,275.5
2022 Q3,315.4071,259.0
2022 Q4,324.2545,266.0
2023 Q1,296.4134,235.0
2023 Q2,277.86,210.0
2023 Q3,295.1965,224.5
2023 Q4,281.7829,221.0
2024 Q1,292.2631,244.0
2024 Q2,275.3168,209.5
2024 Q3,274.1761,222.0
2024 Q4,283.0336,217.0
2025 Q1,291.3112,244.0
2025 Q2,299.5245,244.0
2025 Q3,287.3802,232.0
2025 Q4,271.0289,224.0
2026 Q1,302.0482,246.0
2026 Q2,301.2269,246.0
