Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,117,187,78,159
2017 Q2,88,175,79,159
2017 Q3,88,180,74,141
2017 Q4,101,166,106,149
2018 Q1,112,174,88,176
2018 Q2,129,178,108,181
2018 Q3,88,169,92,184
2018 Q4,102,164,85,171
2019 Q1,119,178,102,169
2019 Q2,124,174,79,175
2019 Q3,116,155,79,145
2019 Q4,111,177,78,154
2020 Q1,110,137,59,147
2020 Q2,57,85,26,67
2020 Q3,112,136,43,96
2020 Q4,114,119,69,99
2021 Q1,113,125,65,121
2021 Q2,94,122,76,113
2021 Q3,109,144,64,115
2021 Q4,86,132,76,155
2022 Q1,102,162,60,129
2022 Q2,135,168,83,173
2022 Q3,124,148,46,154
2022 Q4,91,190,50,161
2023 Q1,105,212,59,165
2023 Q2,106,217,84,158
2023 Q3,109,175,61,169
2023 Q4,92,172,59,138
2024 Q1,121,177,68,127
2024 Q2,112,200,55,138
2024 Q3,116,201,59,130
2024 Q4,114,186,39,120
2025 Q1,111,151,52,138
2025 Q2,105,174,51,118
2025 Q3,111,152,49,143
2025 Q4,95,153,42,86
2026 Q1,94,161,39,94
2026 Q2,88,147,41,107
