Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,13,181,194,6.7,93.3
2017 Q2,13,169,182,7.1,92.9
2017 Q3,13,190,203,6.4,93.6
2017 Q4,15,186,201,7.5,92.5
2018 Q1,19,181,200,9.5,90.5
2018 Q2,23,186,209,11.0,89.0
2018 Q3,20,197,217,9.2,90.8
2018 Q4,17,173,190,8.9,91.1
2019 Q1,23,159,182,12.6,87.4
2019 Q2,21,155,176,11.9,88.1
2019 Q3,25,208,233,10.7,89.3
2019 Q4,22,172,194,11.3,88.7
2020 Q1,35,178,213,16.4,83.6
2020 Q2,34,178,212,16.0,84.0
2020 Q3,36,192,228,15.8,84.2
2020 Q4,28,147,175,16.0,84.0
2021 Q1,49,175,224,21.9,78.1
2021 Q2,30,183,213,14.1,85.9
2021 Q3,36,183,219,16.4,83.6
2021 Q4,26,157,183,14.2,85.8
2022 Q1,26,161,187,13.9,86.1
2022 Q2,35,146,181,19.3,80.7
2022 Q3,25,184,209,12.0,88.0
2022 Q4,26,168,194,13.4,86.6
2023 Q1,31,201,232,13.4,86.6
2023 Q2,33,171,204,16.2,83.8
2023 Q3,37,210,247,15.0,85.0
2023 Q4,49,164,213,23.0,77.0
2024 Q1,41,196,237,17.3,82.7
2024 Q2,40,198,238,16.8,83.2
2024 Q3,38,185,223,17.0,83.0
2024 Q4,41,195,236,17.4,82.6
2025 Q1,24,189,213,11.3,88.7
2025 Q2,30,163,193,15.5,84.5
2025 Q3,37,179,216,17.1,82.9
2025 Q4,34,149,183,18.6,81.4
2026 Q1,33,164,197,16.8,83.2
2026 Q2,43,128,171,25.1,74.9
