Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,869,22,0,891,2.4691358,409,337,746,54.82573727
2017 Q2,853,19,0,872,2.17889908,370,377,747,49.53145917
2017 Q3,777,31,0,808,3.83663366,320,312,632,50.63291139
2017 Q4,827,26,2,855,3.04093567,293,276,569,51.49384886
2018 Q1,874,20,1,895,2.23463687,308,400,708,43.50282486
2018 Q2,919,25,1,945,2.64550265,273,331,604,45.1986755
2018 Q3,916,25,0,941,2.65674814,273,355,628,43.47133758
2018 Q4,866,23,0,889,2.5871766,292,373,665,43.90977444
2019 Q1,854,19,0,873,2.17640321,310,351,661,46.89863843
2019 Q2,989,20,0,1009,1.98216056,420,446,866,48.49884527
2019 Q3,966,22,0,988,2.22672065,361,345,706,51.13314448
2019 Q4,966,19,0,985,1.92893401,352,399,751,46.87083888
2020 Q1,855,20,0,875,2.28571429,337,352,689,48.91146589
2020 Q2,753,12,0,765,1.56862745,153,178,331,46.22356495
2020 Q3,674,28,0,702,3.98860399,220,258,478,46.0251046
2020 Q4,669,29,0,698,4.15472779,210,247,457,45.95185996
2021 Q1,693,27,0,720,3.75,169,283,452,37.38938053
2021 Q2,601,23,0,624,3.68589744,223,333,556,40.10791367
2021 Q3,677,28,0,705,3.97163121,209,308,517,40.42553191
2021 Q4,669,17,0,686,2.47813411,186,290,476,39.07563025
2022 Q1,680,32,0,712,4.49438202,182,322,504,36.11111111
2022 Q2,618,29,1,649,4.46841294,208,313,521,39.92322457
2022 Q3,719,18,1,738,2.43902439,217,386,603,35.986733
2022 Q4,612,35,0,647,5.40958269,184,329,513,35.86744639
2023 Q1,662,28,2,692,4.04624277,190,354,544,34.92647059
2023 Q2,635,35,1,671,5.21609538,185,358,543,34.06998158
2023 Q3,726,29,0,755,3.8410596,203,332,535,37.94392523
2023 Q4,668,35,0,703,4.97866287,168,334,502,33.46613546
2024 Q1,653,29,3,685,4.23357664,223,337,560,39.82142857
2024 Q2,719,32,0,751,4.26098535,193,305,498,38.75502008
2024 Q3,776,36,2,815,4.41717791,212,319,531,39.92467043
2024 Q4,736,31,2,770,4.02597403,195,267,462,42.20779221
2025 Q1,714,32,4,751,4.26098535,232,312,544,42.64705882
2025 Q2,824,46,0,872,5.27522936,233,307,540,43.14814815
2025 Q3,800,35,0,836,4.18660287,239,308,547,43.6928702
2025 Q4,752,33,0,786,4.19847328,241,277,518,46.52509653
2026 Q1,687,46,0,733,6.27557981,247,260,507,48.71794872
2026 Q2,689,32,0,722,4.43213296,203,247,450,45.11111111
