District,Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
18,2017 Q1,409,337,746,54.82573727
18,2017 Q2,370,377,747,49.53145917
18,2017 Q3,320,312,632,50.63291139
18,2017 Q4,293,276,569,51.49384886
18,2018 Q1,308,400,708,43.50282486
18,2018 Q2,273,331,604,45.1986755
18,2018 Q3,273,355,628,43.47133758
18,2018 Q4,292,373,665,43.90977444
18,2019 Q1,310,351,661,46.89863843
18,2019 Q2,420,446,866,48.49884527
18,2019 Q3,361,345,706,51.13314448
18,2019 Q4,352,399,751,46.87083888
18,2020 Q1,337,352,689,48.91146589
18,2020 Q2,153,178,331,46.22356495
18,2020 Q3,220,258,478,46.0251046
18,2020 Q4,210,247,457,45.95185996
18,2021 Q1,169,283,452,37.38938053
18,2021 Q2,223,333,556,40.10791367
18,2021 Q3,209,308,517,40.42553191
18,2021 Q4,186,290,476,39.07563025
18,2022 Q1,182,322,504,36.11111111
18,2022 Q2,208,313,521,39.92322457
18,2022 Q3,217,386,603,35.986733
18,2022 Q4,184,329,513,35.86744639
18,2023 Q1,190,354,544,34.92647059
18,2023 Q2,185,358,543,34.06998158
18,2023 Q3,203,332,535,37.94392523
18,2023 Q4,168,334,502,33.46613546
18,2024 Q1,223,337,560,39.82142857
18,2024 Q2,193,305,498,38.75502008
18,2024 Q3,212,319,531,39.92467043
18,2024 Q4,195,267,462,42.20779221
18,2025 Q1,232,312,544,42.64705882
18,2025 Q2,233,307,540,43.14814815
18,2025 Q3,239,308,547,43.6928702
18,2025 Q4,241,277,518,46.52509653
18,2026 Q1,247,260,507,48.71794872
18,2026 Q2,203,247,450,45.11111111
