Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,409,337,746,54.8
2017 Q2,370,377,747,49.5
2017 Q3,320,312,632,50.6
2017 Q4,293,276,569,51.5
2018 Q1,308,400,708,43.5
2018 Q2,273,331,604,45.2
2018 Q3,273,355,628,43.5
2018 Q4,292,373,665,43.9
2019 Q1,310,351,661,46.9
2019 Q2,420,446,866,48.5
2019 Q3,361,345,706,51.1
2019 Q4,352,399,751,46.9
2020 Q1,337,352,689,48.9
2020 Q2,153,178,331,46.2
2020 Q3,220,258,478,46.0
2020 Q4,210,247,457,46.0
2021 Q1,169,283,452,37.4
2021 Q2,223,333,556,40.1
2021 Q3,209,308,517,40.4
2021 Q4,186,290,476,39.1
2022 Q1,182,322,504,36.1
2022 Q2,208,313,521,39.9
2022 Q3,217,386,603,36.0
2022 Q4,184,329,513,35.9
2023 Q1,190,354,544,34.9
2023 Q2,185,358,543,34.1
2023 Q3,203,332,535,37.9
2023 Q4,168,334,502,33.5
2024 Q1,223,337,560,39.8
2024 Q2,193,305,498,38.8
2024 Q3,212,319,531,39.9
2024 Q4,195,267,462,42.2
2025 Q1,232,312,544,42.6
2025 Q2,233,307,540,43.1
2025 Q3,239,308,547,43.7
2025 Q4,241,277,518,46.5
2026 Q1,247,262,509,48.5
2026 Q2,227,268,495,45.9
