District,Disposition Quarter,Deferred,Probation,Community Corrections,Prison
18,2017 Q1,109,116,37,116
18,2017 Q2,100,128,37,125
18,2017 Q3,82,111,36,108
18,2017 Q4,86,100,23,106
18,2018 Q1,113,143,44,144
18,2018 Q2,119,110,27,113
18,2018 Q3,109,107,30,121
18,2018 Q4,139,118,34,152
18,2019 Q1,115,109,30,144
18,2019 Q2,128,163,43,179
18,2019 Q3,145,137,32,124
18,2019 Q4,139,134,32,159
18,2020 Q1,117,148,19,136
18,2020 Q2,54,77,16,50
18,2020 Q3,101,113,17,95
18,2020 Q4,103,103,14,103
18,2021 Q1,93,102,30,116
18,2021 Q2,110,137,38,117
18,2021 Q3,98,126,32,110
18,2021 Q4,77,100,37,128
18,2022 Q1,91,131,38,114
18,2022 Q2,109,113,44,120
18,2022 Q3,101,138,47,156
18,2022 Q4,100,133,37,119
18,2023 Q1,113,135,31,139
18,2023 Q2,95,148,48,103
18,2023 Q3,74,132,36,129
18,2023 Q4,107,144,37,107
18,2024 Q1,118,129,33,128
18,2024 Q2,100,128,23,117
18,2024 Q3,131,127,25,125
18,2024 Q4,120,109,20,103
18,2025 Q1,135,130,35,109
18,2025 Q2,124,115,25,118
18,2025 Q3,108,116,26,133
18,2025 Q4,98,105,26,117
18,2026 Q1,103,107,22,101
18,2026 Q2,97,115,11,88
