District,Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
18,2017 Q1,130,63,144,337
18,2017 Q2,163,72,143,378
18,2017 Q3,117,65,130,312
18,2017 Q4,109,73,95,277
18,2018 Q1,169,84,147,400
18,2018 Q2,137,65,131,333
18,2018 Q3,155,78,123,356
18,2018 Q4,177,85,112,374
18,2019 Q1,176,74,101,351
18,2019 Q2,200,105,142,447
18,2019 Q3,146,76,123,345
18,2019 Q4,175,76,148,399
18,2020 Q1,157,80,116,353
18,2020 Q2,70,42,67,179
18,2020 Q3,112,48,101,261
18,2020 Q4,128,56,66,250
18,2021 Q1,150,57,77,284
18,2021 Q2,154,64,115,333
18,2021 Q3,149,65,94,308
18,2021 Q4,152,63,75,290
18,2022 Q1,151,85,86,322
18,2022 Q2,161,68,84,313
18,2022 Q3,199,97,90,386
18,2022 Q4,177,68,84,329
18,2023 Q1,166,83,106,355
18,2023 Q2,155,92,111,358
18,2023 Q3,170,69,94,333
18,2023 Q4,152,81,101,334
18,2024 Q1,177,62,100,339
18,2024 Q2,142,66,98,306
18,2024 Q3,154,70,96,320
18,2024 Q4,158,48,61,267
18,2025 Q1,146,79,90,315
18,2025 Q2,162,46,99,307
18,2025 Q3,162,53,95,310
18,2025 Q4,154,46,79,279
18,2026 Q1,142,46,74,262
18,2026 Q2,133,51,68,252
