Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2011 Q4,0,1,0
2012 Q4,0,1,0
2014 Q3,0,0,1
2015 Q3,0,1,0
2016 Q2,1,0,0
2017 Q1,215,229,9
2017 Q2,425,754,49
2017 Q3,675,1118,56
2017 Q4,732,1477,73
2018 Q1,313,517,31
2018 Q2,566,1021,52
2018 Q3,732,1270,61
2018 Q4,865,1793,86
2019 Q1,219,631,45
2019 Q2,443,1337,129
2019 Q3,671,1855,170
2019 Q4,973,2232,252
2020 Q1,453,1301,217
2020 Q2,387,1261,113
2020 Q3,458,1344,102
2020 Q4,505,1298,71
2021 Q1,489,1327,79
2021 Q2,441,1407,105
2021 Q3,487,1486,106
2021 Q4,504,1348,81
2022 Q1,385,1416,132
2022 Q2,484,1441,190
2022 Q3,503,1493,173
2022 Q4,443,1436,170
2023 Q1,481,1450,182
2023 Q2,481,1540,189
2023 Q3,492,1567,189
2023 Q4,443,1697,210
2024 Q1,508,1834,225
2024 Q2,458,1711,243
2024 Q3,465,1933,294
2024 Q4,461,1987,260
2025 Q1,394,1812,233
2025 Q2,404,1746,244
2025 Q3,466,1911,251
2025 Q4,399,1617,251
2026 Q1,353,1592,224
2026 Q2,401,1653,301
