District,Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
20,2011 Q4,0,1,0,1,0.0
20,2012 Q4,0,1,0,1,0.0
20,2014 Q3,0,0,1,1,0.0
20,2015 Q3,0,1,0,1,0.0
20,2016 Q2,1,0,0,1,100.0
20,2017 Q1,215,229,9,453,47.46136865
20,2017 Q2,425,754,49,1228,34.60912052
20,2017 Q3,675,1118,56,1849,36.50621958
20,2017 Q4,732,1477,73,2282,32.07712533
20,2018 Q1,313,517,31,861,36.35307782
20,2018 Q2,566,1021,52,1639,34.53325198
20,2018 Q3,732,1270,61,2063,35.48230732
20,2018 Q4,865,1793,86,2744,31.52332362
20,2019 Q1,219,631,45,895,24.46927374
20,2019 Q2,443,1337,129,1909,23.20586695
20,2019 Q3,671,1855,170,2696,24.88872404
20,2019 Q4,973,2232,252,3457,28.14579115
20,2020 Q1,453,1301,217,1971,22.98325723
20,2020 Q2,387,1261,113,1761,21.97614991
20,2020 Q3,458,1344,102,1904,24.05462185
20,2020 Q4,505,1298,71,1874,26.94770544
20,2021 Q1,489,1327,79,1895,25.80474934
20,2021 Q2,441,1407,105,1953,22.58064516
20,2021 Q3,487,1486,106,2079,23.42472342
20,2021 Q4,504,1348,81,1933,26.07346094
20,2022 Q1,385,1416,132,1933,19.91722711
20,2022 Q2,484,1441,190,2115,22.88416076
20,2022 Q3,503,1493,173,2169,23.19041033
20,2022 Q4,443,1436,170,2049,21.62030259
20,2023 Q1,481,1450,182,2113,22.76384288
20,2023 Q2,481,1540,189,2210,21.76470588
20,2023 Q3,492,1567,189,2248,21.886121
20,2023 Q4,443,1697,210,2350,18.85106383
20,2024 Q1,508,1834,225,2567,19.78963771
20,2024 Q2,458,1711,243,2412,18.98839138
20,2024 Q3,465,1933,294,2692,17.27340267
20,2024 Q4,461,1987,260,2708,17.02363368
20,2025 Q1,394,1812,233,2439,16.15416154
20,2025 Q2,404,1746,244,2394,16.87552214
20,2025 Q3,466,1911,251,2628,17.73211568
20,2025 Q4,399,1617,251,2267,17.60035289
20,2026 Q1,353,1592,224,2169,16.27478101
20,2026 Q2,401,1653,301,2355,17.02760085
20,2026 Q3,11,58,8,77,14.28571429
