Filing Quarter,Number of violent cases filed per quarter
2011 Q4,0
2012 Q4,0
2014 Q3,0
2015 Q3,0
2016 Q2,0
2017 Q1,33
2017 Q2,66
2017 Q3,97
2017 Q4,104
2018 Q1,63
2018 Q2,87
2018 Q3,108
2018 Q4,134
2019 Q1,40
2019 Q2,61
2019 Q3,87
2019 Q4,139
2020 Q1,87
2020 Q2,97
2020 Q3,96
2020 Q4,96
2021 Q1,112
2021 Q2,74
2021 Q3,88
2021 Q4,108
2022 Q1,80
2022 Q2,111
2022 Q3,117
2022 Q4,112
2023 Q1,99
2023 Q2,103
2023 Q3,122
2023 Q4,99
2024 Q1,132
2024 Q2,84
2024 Q3,110
2024 Q4,108
2025 Q1,96
2025 Q2,116
2025 Q3,102
2025 Q4,104
2026 Q1,58
2026 Q2,96
