District,Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
20,2017 Q1,22,6,40,42,62,8,10,2,192,27.08333333,3.125,69.79166667
20,2017 Q2,27,8,49,41,62,7,9,4,207,25.12077295,3.8647343,71.01449275
20,2017 Q3,28,2,48,45,64,4,9,4,204,25.98039216,0.98039216,73.03921569
20,2017 Q4,28,8,59,51,65,6,7,3,227,26.43171806,3.52422907,70.04405286
20,2018 Q1,31,9,44,49,81,3,7,2,226,23.89380531,3.98230088,72.12389381
20,2018 Q2,35,12,59,41,85,2,10,5,249,19.27710843,4.81927711,75.90361446
20,2018 Q3,29,9,48,64,80,1,11,2,244,27.45901639,3.68852459,68.85245902
20,2018 Q4,39,16,52,70,83,3,6,8,277,29.24187726,5.77617329,64.98194946
20,2019 Q1,34,21,52,56,83,10,9,3,268,25.74626866,7.8358209,66.41791045
20,2019 Q2,35,32,49,53,110,6,11,3,299,20.73578595,10.70234114,68.56187291
20,2019 Q3,26,18,46,43,88,2,14,2,239,19.66527197,7.53138075,72.80334728
20,2019 Q4,33,28,54,56,83,6,11,5,276,24.27536232,10.14492754,65.57971014
20,2020 Q1,32,32,42,52,84,6,15,4,267,23.22097378,11.98501873,64.79400749
20,2020 Q2,5,20,7,23,39,2,1,1,98,26.53061224,20.40816327,53.06122449
20,2020 Q3,3,43,21,51,54,5,8,0,185,30.27027027,23.24324324,46.48648649
20,2020 Q4,7,32,20,47,49,2,3,2,162,31.48148148,19.75308642,48.7654321
20,2021 Q1,9,34,17,56,55,2,5,1,179,32.96089385,18.99441341,48.04469274
20,2021 Q2,4,35,25,72,56,4,6,3,205,38.53658537,17.07317073,44.3902439
20,2021 Q3,16,43,32,89,62,6,5,3,256,38.28125,16.796875,44.921875
20,2021 Q4,8,25,24,71,52,5,7,2,194,40.20618557,12.88659794,46.90721649
20,2022 Q1,7,38,21,85,70,7,12,5,245,39.59183673,15.51020408,44.89795918
20,2022 Q2,14,37,21,71,76,2,12,4,237,32.48945148,15.61181435,51.89873418
20,2022 Q3,19,37,32,60,64,3,10,2,227,28.63436123,16.29955947,55.0660793
20,2022 Q4,24,50,29,67,66,8,4,2,250,30.8,20.0,49.2
20,2023 Q1,17,34,21,57,67,6,5,4,211,31.7535545,16.11374408,52.13270142
20,2023 Q2,22,46,26,60,68,8,12,3,245,28.97959184,18.7755102,52.24489796
20,2023 Q3,21,37,25,67,64,5,3,7,229,34.49781659,16.15720524,49.34497817
20,2023 Q4,20,38,17,65,70,4,0,6,220,34.09090909,17.27272727,48.63636364
20,2024 Q1,19,28,27,72,57,9,5,6,223,39.01345291,12.55605381,48.43049327
20,2024 Q2,17,48,22,59,59,6,5,7,223,32.28699552,21.52466368,46.18834081
20,2024 Q3,24,39,29,70,80,6,5,3,256,30.859375,15.234375,53.90625
20,2024 Q4,32,48,14,67,57,6,4,1,229,32.31441048,20.96069869,46.72489083
20,2025 Q1,37,50,25,84,76,14,4,5,295,34.91525424,16.94915254,48.13559322
20,2025 Q2,46,49,27,55,84,13,8,6,288,25.69444444,17.01388889,57.29166667
20,2025 Q3,34,37,21,58,56,7,1,3,217,31.33640553,17.05069124,51.61290323
20,2025 Q4,25,24,15,58,70,8,3,5,208,34.13461538,11.53846154,54.32692308
20,2026 Q1,25,48,24,67,48,10,6,2,230,34.34782609,20.86956522,44.7826087
20,2026 Q2,27,30,13,37,50,2,1,2,162,25.30864198,18.51851852,56.17283951
20,2026 Q3,1,0,1,0,1,0,0,0,3,0.0,0.0,100.0
20,2026 Q4,0,0,0,0,1,0,0,0,1,0.0,0.0,100.0
