Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,2,12,14,14.28571429,85.71428571
2017 Q2,0,14,14,0.0,100.0
2017 Q3,0,15,15,0.0,100.0
2017 Q4,0,7,7,0.0,100.0
2018 Q1,2,15,17,11.76470588,88.23529412
2018 Q2,1,6,7,14.28571429,85.71428571
2018 Q3,7,16,23,30.43478261,69.56521739
2018 Q4,2,20,22,9.09090909,90.90909091
2019 Q1,1,17,18,5.55555556,94.44444444
2019 Q2,2,12,14,14.28571429,85.71428571
2019 Q3,4,22,26,15.38461538,84.61538462
2019 Q4,0,20,20,0.0,100.0
2020 Q1,3,20,23,13.04347826,86.95652174
2020 Q2,3,15,18,16.66666667,83.33333333
2020 Q3,3,18,21,14.28571429,85.71428571
2020 Q4,6,14,20,30.0,70.0
2021 Q1,4,21,25,16.0,84.0
2021 Q2,3,22,25,12.0,88.0
2021 Q3,3,14,17,17.64705882,82.35294118
2021 Q4,0,6,6,0.0,100.0
2022 Q1,1,18,19,5.26315789,94.73684211
2022 Q2,5,9,14,35.71428571,64.28571429
2022 Q3,2,14,16,12.5,87.5
2022 Q4,2,6,8,25.0,75.0
2023 Q1,4,11,15,26.66666667,73.33333333
2023 Q2,4,15,19,21.05263158,78.94736842
2023 Q3,6,15,21,28.57142857,71.42857143
2023 Q4,9,26,35,25.71428571,74.28571429
2024 Q1,7,16,23,30.43478261,69.56521739
2024 Q2,7,12,19,36.84210526,63.15789474
2024 Q3,3,17,20,15.0,85.0
2024 Q4,1,10,11,9.09090909,90.90909091
2025 Q1,3,16,19,15.78947368,84.21052632
2025 Q2,1,14,15,6.66666667,93.33333333
2025 Q3,4,20,24,16.66666667,83.33333333
2025 Q4,3,14,17,17.64705882,82.35294118
2026 Q1,4,13,17,23.52941176,76.47058824
2026 Q2,2,9,11,18.18181818,81.81818182
