Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,0,2,2,10,14,14.3,14.3
2017 Q2,1,5,1,7,14,35.7,7.1
2017 Q3,0,7,3,5,15,46.7,20.0
2017 Q4,0,2,2,3,7,28.6,28.6
2018 Q1,0,2,3,12,17,11.8,17.6
2018 Q2,0,2,0,5,7,28.6,0.0
2018 Q3,0,7,3,13,23,30.4,13.0
2018 Q4,1,2,6,13,22,9.1,27.3
2019 Q1,0,6,2,9,17,35.3,11.8
2019 Q2,0,2,2,10,14,14.3,14.3
2019 Q3,0,5,3,18,26,19.2,11.5
2019 Q4,0,3,2,15,20,15.0,10.0
2020 Q1,0,6,1,16,23,26.1,4.3
2020 Q2,1,5,7,5,18,27.8,38.9
2020 Q3,0,4,2,15,21,19.0,9.5
2020 Q4,0,4,0,16,20,20.0,0.0
2021 Q1,1,2,3,19,25,8.0,12.0
2021 Q2,0,3,8,14,25,12.0,32.0
2021 Q3,0,4,1,12,17,23.5,5.9
2021 Q4,0,1,0,5,6,16.7,0.0
2022 Q1,0,0,5,14,19,0.0,26.3
2022 Q2,0,0,0,14,14,0.0,0.0
2022 Q3,0,5,0,11,16,31.2,0.0
2022 Q4,1,3,0,4,8,37.5,0.0
2023 Q1,0,2,2,11,15,13.3,13.3
2023 Q2,3,2,2,12,19,10.5,10.5
2023 Q3,1,3,2,15,21,14.3,9.5
2023 Q4,1,5,7,22,35,14.3,20.0
2024 Q1,0,2,0,21,23,8.7,0.0
2024 Q2,1,1,1,16,19,5.3,5.3
2024 Q3,1,4,2,13,20,20.0,10.0
2024 Q4,1,2,0,8,11,18.2,0.0
2025 Q1,0,2,2,15,19,10.5,10.5
2025 Q2,1,1,4,9,15,6.7,26.7
2025 Q3,1,6,3,14,24,25.0,12.5
2025 Q4,1,1,1,14,17,5.9,5.9
2026 Q1,1,2,2,12,17,11.8,11.8
2026 Q2,0,1,1,9,11,9.1,9.1
