District,Disposition Quarter,Not disposed within 30 days,Disposed within 30 days,Total Cases Disposed,Misdemeanors not resolved within 30 days,Misdemeanors resolved within 30 days
23,2017 Q1,1409,452,1861,75.7119828,24.2880172
23,2017 Q2,1708,412,2120,80.56603774,19.43396226
23,2017 Q3,1570,406,1976,79.4534413,20.5465587
23,2017 Q4,1678,464,2142,78.33800187,21.66199813
23,2018 Q1,1720,610,2330,73.81974249,26.18025751
23,2018 Q2,1704,445,2149,79.29269428,20.70730572
23,2018 Q3,1509,423,1932,78.10559006,21.89440994
23,2018 Q4,1497,700,2197,68.13837051,31.86162949
23,2019 Q1,1527,878,2405,63.49272349,36.50727651
23,2019 Q2,1593,731,2324,68.54561102,31.45438898
23,2019 Q3,1531,589,2120,72.21698113,27.78301887
23,2019 Q4,1422,840,2262,62.86472149,37.13527851
23,2020 Q1,1228,667,1895,64.80211082,35.19788918
23,2020 Q2,732,88,820,89.26829268,10.73170732
23,2020 Q3,1709,203,1912,89.38284519,10.61715481
23,2020 Q4,1613,244,1857,86.86052773,13.13947227
23,2021 Q1,1534,175,1709,89.76009362,10.23990638
23,2021 Q2,1717,209,1926,89.14849429,10.85150571
23,2021 Q3,1723,262,1985,86.80100756,13.19899244
23,2021 Q4,1877,384,2261,83.01636444,16.98363556
23,2022 Q1,1939,334,2273,85.30576331,14.69423669
23,2022 Q2,1967,186,2153,91.36089178,8.63910822
23,2022 Q3,1612,399,2011,80.15912481,19.84087519
23,2022 Q4,1392,468,1860,74.83870968,25.16129032
23,2023 Q1,1720,306,2026,84.89634748,15.10365252
23,2023 Q2,1773,579,2352,75.38265306,24.61734694
23,2023 Q3,1516,690,2206,68.72166818,31.27833182
23,2023 Q4,1410,601,2011,70.11437096,29.88562904
23,2024 Q1,1732,499,2231,77.63334827,22.36665173
23,2024 Q2,1535,865,2400,63.95833333,36.04166667
23,2024 Q3,1533,717,2250,68.13333333,31.86666667
23,2024 Q4,1496,693,2189,68.34170854,31.65829146
23,2025 Q1,2046,382,2428,84.26688633,15.73311367
23,2025 Q2,2113,246,2359,89.57185248,10.42814752
23,2025 Q3,2024,298,2322,87.166236,12.833764
23,2025 Q4,1840,332,2172,84.7145488,15.2854512
23,2026 Q1,1897,233,2130,89.06103286,10.93896714
23,2026 Q2,1795,206,2001,89.70514743,10.29485257
