Disposition Quarter,Average number of hearings per case
2017 Q1,7.8344
2017 Q2,7.8199
2017 Q3,7.7508
2017 Q4,8.1044
2018 Q1,7.6657
2018 Q2,7.7563
2018 Q3,7.2825
2018 Q4,7.4973
2019 Q1,7.427
2019 Q2,7.9465
2019 Q3,7.7522
2019 Q4,8.2951
2020 Q1,8.1491
2020 Q2,8.0
2020 Q3,9.1661
2020 Q4,9.2295
2021 Q1,9.5613
2021 Q2,10.3047
2021 Q3,10.6037
2021 Q4,10.3438
2022 Q1,10.3221
2022 Q2,9.6794
2022 Q3,9.2763
2022 Q4,10.2821
2023 Q1,9.941
2023 Q2,9.3291
2023 Q3,9.3102
2023 Q4,9.1873
2024 Q1,9.0986
2024 Q2,9.313
2024 Q3,8.6156
2024 Q4,8.352
2025 Q1,8.9732
2025 Q2,9.1989
2025 Q3,8.5389
2025 Q4,9.6098
2026 Q1,9.6286
2026 Q2,8.5517
