Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,525,113,638,17.7
2017 Q2,517,124,641,19.3
2017 Q3,518,141,659,21.4
2017 Q4,551,135,686,19.7
2018 Q1,543,154,697,22.1
2018 Q2,503,221,724,30.5
2018 Q3,440,206,646,31.9
2018 Q4,473,240,713,33.7
2019 Q1,538,247,785,31.5
2019 Q2,503,212,715,29.7
2019 Q3,476,186,662,28.1
2019 Q4,438,176,614,28.7
2020 Q1,459,193,652,29.6
2020 Q2,167,85,252,33.7
2020 Q3,367,134,501,26.7
2020 Q4,368,138,506,27.3
2021 Q1,390,137,527,26.0
2021 Q2,444,146,590,24.7
2021 Q3,470,186,656,28.4
2021 Q4,449,204,653,31.2
2022 Q1,448,239,687,34.8
2022 Q2,425,269,694,38.8
2022 Q3,407,267,674,39.6
2022 Q4,382,213,595,35.8
2023 Q1,449,256,705,36.3
2023 Q2,407,253,660,38.3
2023 Q3,382,239,621,38.5
2023 Q4,354,245,599,40.9
2024 Q1,456,226,682,33.1
2024 Q2,426,278,704,39.5
2024 Q3,394,223,617,36.1
2024 Q4,414,243,657,37.0
2025 Q1,484,359,843,42.6
2025 Q2,488,336,824,40.8
2025 Q3,459,306,765,40.0
2025 Q4,383,250,633,39.5
